Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Larry Sanders\larry-sanders-1,35,941,196,367,.534,192,351,.547,4,16,.250,107,167,.641,106,213,319,34,26,90,58,103,503
2,Joey Rodriguez\joey-rodriguez-1,36,1184,157,361,.435,100,198,.505,57,163,.350,95,118,.805,28,69,97,208,67,0,98,60,466
3,Bradford Burgess\bradford-burgess-1,36,1031,132,275,.480,91,165,.552,41,110,.373,71,90,.789,56,127,183,43,35,13,46,81,376
4,Brandon Rozzell\brandon-rozzell-1,36,808,112,267,.419,49,118,.415,63,149,.423,31,42,.738,10,70,80,43,48,3,38,50,318
5,Ed Nixon\ed-nixon-1,36,810,100,213,.469,59,118,.500,41,95,.432,44,58,.759,30,60,90,63,36,8,51,83,285
6,Jamie Skeen\jamie-skeen-1,28,580,87,168,.518,81,141,.574,6,27,.222,47,73,.644,56,70,126,24,21,11,21,31,227
7,T.J. Gwynn\tj-gwynn-1,34,520,56,121,.463,52,106,.491,4,15,.267,49,71,.690,23,79,102,34,15,4,37,41,165
8,Jay Gavin\jay-gavin-1,17,239,29,80,.363,14,36,.389,15,44,.341,22,36,.611,11,21,32,23,6,1,14,24,95
9,Darius Theus\darius-theus-1,35,417,35,80,.438,29,54,.537,6,26,.231,18,28,.643,16,19,35,39,40,1,35,43,94
10,Kirill Pishchalnikov\kirill-pishchalnikov-1,33,288,26,68,.382,26,68,.382,0,0,,25,34,.735,40,45,85,7,7,8,23,56,77
11,Terrance Saintil\terrance-saintil-1,26,205,28,53,.528,28,53,.528,0,0,,8,16,.500,21,29,50,7,14,6,10,34,64
12,Troy Daniels\troy-daniels-1,26,157,18,49,.367,3,8,.375,15,41,.366,5,6,.833,3,13,16,6,2,2,2,15,56
13,Issiah Grayson\issiah-grayson-1,13,43,2,9,.222,1,4,.250,1,5,.200,4,6,.667,1,3,4,4,1,1,4,3,9
14,David Hinton\david-hinton-1,9,27,1,6,.167,1,6,.167,0,0,,0,2,.000,1,5,6,1,0,0,3,1,2
