season,last.name,first.name.x,first.name.y,games.played,games.started,minutes,average.minutes,field.goals,field.goal.attempts,two.pointers,two.point.attempts,two.point.prop,three.pointers,three.point.attempts,three.point.prop,free.throws,free.throw.attempts,free.throw.prop,offensive.rebounds,defensive.rebounds,assists,turnovers,blocks,steals,points,average.points,total.rebounds,fouls,foul.outs,jersey,class,height,height.inches,weight,redshirt,city,state,link,prior.school
1972.0,Dark,Jesse,NA,19.0,NA,NA,NA,172.0,335.0,NA,NA,NA,NA,NA,NA,76.0,109.0,0.6972477064220184,NA,NA,53.0,NA,NA,NA,621.0,22.1,151.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Jones,Richard,NA,19.0,NA,NA,NA,92.0,210.0,NA,NA,NA,NA,NA,NA,75.0,108.0,0.6944444444444444,NA,NA,52.0,NA,NA,NA,259.0,13.6,249.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Harris,Benard,NA,19.0,NA,NA,NA,152.0,252.0,NA,NA,NA,NA,NA,NA,70.0,101.0,0.693069306930693,NA,NA,34.0,NA,NA,NA,374.0,19.7,218.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Edwards,Dave,NA,19.0,NA,NA,NA,100.0,201.0,NA,NA,NA,NA,NA,NA,44.0,67.0,0.6567164179104478,NA,NA,161.0,NA,NA,NA,246.0,12.9,64.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Robertson,Howie,NA,19.0,NA,NA,NA,76.0,149.0,NA,NA,NA,NA,NA,NA,35.0,49.0,0.7142857142857143,NA,NA,73.0,NA,NA,NA,205.0,10.8,37.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Cain,Reggie,NA,19.0,NA,NA,NA,81.0,169.0,NA,NA,NA,NA,NA,NA,12.0,26.0,0.46153846153846156,NA,NA,45.0,NA,NA,NA,174.0,9.2,36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Mathews,Eddie,NA,11.0,NA,NA,NA,6.0,23.0,NA,NA,NA,NA,NA,NA,3.0,4.0,0.75,NA,NA,6.0,NA,NA,NA,15.0,1.4,16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Sudduth,Barry,NA,16.0,NA,NA,NA,21.0,44.0,NA,NA,NA,NA,NA,NA,6.0,9.0,0.6666666666666666,NA,NA,17.0,NA,NA,NA,48.0,3.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Fling,Mike,NA,15.0,NA,NA,NA,16.0,46.0,NA,NA,NA,NA,NA,NA,11.0,16.0,0.6875,NA,NA,2.0,NA,NA,NA,43.0,2.9,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1972.0,Simpson,Gary,NA,7.0,NA,NA,NA,6.0,15.0,NA,NA,NA,NA,NA,NA,2.0,5.0,0.4,NA,NA,1.0,NA,NA,NA,14.0,2.0,19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197172_Stats,NA
1973.0,Motley,Tom,NA,25.0,NA,776.0,31.04,182.0,393.0,NA,NA,NA,NA,NA,NA,96.0,135.0,0.7111111111111111,NA,NA,5.0,NA,NA,NA,460.0,18.4,213.0,76.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Henderson,Gerald,NA,25.0,NA,727.0,29.08,196.0,395.0,NA,NA,NA,NA,NA,NA,27.0,43.0,0.627906976744186,NA,NA,46.0,NA,NA,NA,419.0,16.8,71.0,63.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Price,Tic,NA,25.0,NA,678.0,27.12,128.0,281.0,NA,NA,NA,NA,NA,NA,65.0,88.0,0.7386363636363636,NA,NA,34.0,NA,NA,NA,321.0,12.8,136.0,73.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Holloway,Tony,NA,21.0,NA,376.0,17.904761904761905,80.0,156.0,NA,NA,NA,NA,NA,NA,12.0,26.0,0.46153846153846156,NA,NA,15.0,NA,NA,NA,172.0,8.2,62.0,34.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Highsmith,Keith ,NA,25.0,NA,749.0,29.96,64.0,160.0,NA,NA,NA,NA,NA,NA,35.0,49.0,0.7142857142857143,NA,NA,150.0,NA,NA,NA,163.0,6.5,37.0,55.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Watson,Lorenza,NA,25.0,NA,491.0,19.64,68.0,121.0,NA,NA,NA,NA,NA,NA,18.0,38.0,0.47368421052631576,NA,NA,11.0,NA,NA,NA,154.0,6.2,187.0,63.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Binns,Tim,NA,22.0,NA,207.0,9.409090909090908,49.0,107.0,NA,NA,NA,NA,NA,NA,24.0,29.0,0.8275862068965517,NA,NA,4.0,NA,NA,NA,122.0,5.5,38.0,21.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Barnes,Norman,NA,25.0,NA,396.0,15.84,60.0,119.0,NA,NA,NA,NA,NA,NA,18.0,32.0,0.5625,NA,NA,6.0,NA,NA,NA,138.0,5.5,126.0,63.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Tatum,Edd,NA,22.0,NA,229.0,10.409090909090908,31.0,73.0,NA,NA,NA,NA,NA,NA,16.0,27.0,0.5925925925925926,NA,NA,4.0,NA,NA,NA,78.0,3.5,55.0,47.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Elis,Tony,NA,15.0,NA,104.0,6.933333333333334,19.0,54.0,NA,NA,NA,NA,NA,NA,7.0,15.0,0.4666666666666667,NA,NA,0.0,NA,NA,NA,45.0,3.0,34.0,10.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Fultz,Morris ,NA,3.0,NA,24.0,8.0,2.0,3.0,NA,NA,NA,NA,NA,NA,4.0,4.0,1.0,NA,NA,1.0,NA,NA,NA,88.0,2.7,10.0,3.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Holmes,Pat,NA,10.0,NA,73.0,7.3,7.0,13.0,NA,NA,NA,NA,NA,NA,4.0,9.0,0.4444444444444444,NA,NA,4.0,NA,NA,NA,18.0,1.8,26.0,7.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,Saltz,Rhea,NA,13.0,NA,93.0,7.153846153846154,7.0,23.0,NA,NA,NA,NA,NA,NA,9.0,12.0,0.75,NA,NA,14.0,NA,NA,NA,23.0,1.8,5.0,17.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1973.0,DiMaria,Tony,NA,14.0,NA,127.0,9.071428571428571,5.0,26.0,NA,NA,NA,NA,NA,NA,6.0,11.0,0.5454545454545454,NA,NA,11.0,NA,NA,NA,16.0,1.1,7.0,16.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197273_Stats,NA
1974.0,Dark,NA,NA,24.0,NA,NA,NA,245.0,485.0,NA,NA,NA,NA,NA,NA,65.0,90.0,0.7222222222222222,NA,NA,88.0,84.0,NA,NA,555.0,23.1,132.0,64.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197374_Stats,NA
1974.0,Harris,NA,NA,24.0,NA,NA,NA,210.0,415.0,NA,NA,NA,NA,NA,NA,41.0,49.0,0.8367346938775511,NA,NA,42.0,55.0,NA,NA,461.0,19.2,279.0,65.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197374_Stats,NA
1974.0,Jones,R.,NA,24.0,NA,NA,NA,130.0,281.0,NA,NA,NA,NA,NA,NA,58.0,82.0,0.7073170731707317,NA,NA,75.0,40.0,NA,NA,318.0,13.3,202.0,62.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197374_Stats,NA
1974.0,Motley,NA,NA,24.0,NA,NA,NA,90.0,190.0,NA,NA,NA,NA,NA,NA,29.0,47.0,0.6170212765957447,NA,NA,23.0,27.0,NA,NA,209.0,8.7,162.0,55.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197374_Stats,NA
