link,player,games.played,minutes,fg.fga,three.pointers,ft.fta,reb,pf.fo,ast,to,blk,stl,pts.avg
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"
Dark, Jesse
",19,NA,172-335,NA,76-109,151,NA,53,NA,NA,NA,621-22.1
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Jones, Richard",19,NA,92-210,NA,75-108,249,NA,52,NA,NA,NA,259-13.6
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Harris, Benard",19,NA,152-252,NA,70-101,218,NA, 34,NA,NA,NA,374-19.7
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Edwards, Dave", 19,NA,100-201,NA,44-67,64,NA,161,NA,NA,NA,246-12.9
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Robertson, Howie",19,NA,76-149,NA,35-49,37,NA,73,NA,NA,NA,205-10.8
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Cain, Reggie",19,NA,81-169,NA,12-26,36,NA,45,NA,NA,NA,174-9.2
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Mathews, Eddie",11,NA,6-23,NA,3-4,16,NA,6,NA,NA,NA, 15-1.4
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Sudduth, Barry",16,NA, 21-44,NA,6-9,12,NA,17,NA,NA,NA,48-3.0
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Fling, Mike",15,NA,16-46,NA,11-16,41,NA,2,NA,NA,NA,43-2.9
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"Simpson, Gary",7,NA,6-15,NA,2-5,19,NA,1,NA,NA,NA,14-2.0
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"
Totals
","
19
",NA,"
722-1441
",NA,"
354-525
",848,NA,"
444
",NA,NA,NA,"
1798-94.6
"
http://vcuathletics.com/sports/mbkb/archives/197172_Stats,"
Opponents
",19,NA,613-1501,NA,275-418,786,NA,272,NA,NA,NA,1501-79.0
