"first.name","last.name","games.played","minutes","field.goals","field.goal.attempts","three.pointers","three.point.attempts","free.throws","free.throw.attempts","offensive.rebounds","defensive.rebounds","total.rebounds","assists","steals","blocks","turnovers","fouls","points","season"
"Larry","Sanders",35,941,196,367,4,16,107,167,106,213,319,34,26,90,58,103,503,2010
"Joey","Rodriguez",36,1184,157,361,57,163,95,118,28,69,97,208,67,0,98,60,466,2010
"Bradford","Burgess",36,1031,132,275,41,110,71,90,56,127,183,43,35,13,46,81,376,2010
"Brandon","Rozzell",36,808,112,267,63,149,31,42,10,70,80,43,48,3,38,50,318,2010
"Ed","Nixon",36,810,100,213,41,95,44,58,30,60,90,63,36,8,51,83,285,2010
"Jamie","Skeen",28,580,87,168,6,27,47,73,56,70,126,24,21,11,21,31,227,2010
"T.J.","Gwynn",34,520,56,121,4,15,49,71,23,79,102,34,15,4,37,41,165,2010
"Jay","Gavin",17,239,29,80,15,44,22,36,11,21,32,23,6,1,14,24,95,2010
"Darius","Theus",35,417,35,80,6,26,18,28,16,19,35,39,40,1,35,43,94,2010
"Kirill","Pishchalnikov",33,288,26,68,0,0,25,34,40,45,85,7,7,8,23,56,77,2010
"Terrance","Saintil",26,205,28,53,0,0,8,16,21,29,50,7,14,6,10,34,64,2010
"Troy","Daniels",26,157,18,49,15,41,5,6,3,13,16,6,2,2,2,15,56,2010
"Issiah","Grayson",13,43,2,9,1,5,4,6,1,3,4,4,1,1,4,3,9,2010
"David","Hinton",9,27,1,6,0,0,0,2,1,5,6,1,0,0,3,1,2,2010
"Jamie","Skeen",39,1245,198,382,36,86,179,249,93,193,286,62,23,40,66,77,611,2011
"Bradford","Burgess",40,1380,193,396,72,166,113,150,85,166,251,66,43,30,61,86,571,2011
"Joey","Rodriguez",40,1343,126,366,69,205,93,114,25,102,127,208,61,2,91,88,414,2011
"Brandon","Rozzell",32,808,120,292,78,196,49,62,14,63,77,45,43,1,28,55,367,2011
"Ed","Nixon",40,998,101,243,31,93,46,62,40,62,102,77,46,15,59,105,279,2011
"Rob","Brandenberg",39,535,67,164,31,89,28,44,25,42,67,22,28,9,21,44,193,2011
"Juvonte","Reddic",36,402,50,108,0,0,26,40,33,37,70,10,16,7,32,63,126,2011
"Darius","Theus",40,614,38,109,4,28,41,62,13,50,63,84,41,9,55,92,121,2011
"Toby","Veal",30,299,34,68,0,0,6,18,31,34,65,5,12,8,11,48,74,2011
"Troy","Daniels",27,126,18,59,18,54,1,3,5,16,21,1,5,0,4,17,55,2011
"DJ","Haley",37,283,18,33,0,0,5,12,16,41,57,2,8,16,10,52,41,2011
"David","Hinton",19,67,5,8,0,0,2,8,0,3,3,1,2,3,2,8,12,2011
"Bradford","Burgess",36,1164,142,389,81,221,119,150,42,138,180,56,39,11,45,81,484,2012
